best_of;p2_1stIn;p2_1stWon;p2_2ndWon;p2_SvGms;p2_ace;p2_bpFaced;p2_bpSaved;p2_df;p2_svpt;p2_age;p2_entry;p2_hand;p2_ht;p2_id;p2_ioc;p2_name;p2_rank;p2_rank_points;p2_seed;match_num;minutes;round;score;surface;tourney_date;tourney_id;tourney_level;tourney_name;p1_1stIn;p1_1stWon;p1_2ndWon;p1_SvGms;p1_ace;p1_bpFaced;p1_bpSaved;p1_df;p1_svpt;p1_age;p1_entry;p1_hand;p1_ht;p1_id;p1_ioc;p1_name;p1_rank;p1_rank_points;p1_seed;p1_won
3;66.0;47.0;26.0;15.0;9.0;9.0;8.0;6.0;112.0;31.75;;L;188.0;104269;ESP;Fernando Verdasco;43.0;995.0;;2;;R64;4-6 6-3 6-4;Hard;20150816;2015-422;M;Cincinnati Masters;49.0;39.0;22.0;14.0;14.0;7.0;5.0;7.0;95.0;30.33;;R;188.0;104542;FRA;Jo Wilfried Tsonga;19.0;1645.0;;0
3;45.0;33.0;21.0;13.0;6.0;9.0;6.0;5.0;87.0;30.97;;R;183.0;104571;CYP;Marcos Baghdatis;41.0;1060.0;;275;101.0;R32;4-6 6-1 6-4;Grass;20160606;2016-0321;A;Stuttgart;51.0;38.0;21.0;14.0;7.0;3.0;2.0;2.0;84.0;26.12;;R;;105526;GER;Jan Lennard Struff;89.0;650.0;;1
5;54.0;38.0;21.0;18.0;3.0;4.0;0.0;3.0;92.0;26.11;;L;183.0;105385;USA;Donald Young;68.0;730.0;;117;;R16;6-4 1-6 6-3 6-4;Hard;20150831;2015-560;G;US Open;53.0;43.0;26.0;18.0;10.0;6.0;3.0;3.0;102.0;30.43;;R;183.0;104527;SUI;Stanislas Wawrinka;5.0;5710.0;5.0;1
3;46.0;35.0;17.0;14.0;2.0;2.0;0.0;3.0;72.0;28.71;;L;185.0;104745;ESP;Rafael Nadal;3.0;5745.0;1.0;25;125.0;QF;4-6 7-5 6-0;Clay;20150216;2015-6932;A;Rio de Janeiro;41.0;27.0;20.0;14.0;6.0;12.0;7.0;3.0;82.0;29.13;;R;180.0;104655;URU;Pablo Cuevas;23.0;1447.0;6.0;0
3;42.0;33.0;13.0;11.0;10.0;1.0;0.0;1.0;68.0;27.46;;R;190.0;104997;NED;Igor Sijsling;100.0;556.0;;12;82.0;R32;6-4 7-5;Hard;20150202;2015-2276;A;Zagreb;50.0;34.0;13.0;11.0;9.0;8.0;5.0;4.0;77.0;30.35;Q;R;185.0;104433;CAN;Frank Dancevic;156.0;326.0;;0
3;39.0;27.0;10.0;9.0;8.0;6.0;3.0;4.0;62.0;31.35;;R;193.0;104678;SRB;Viktor Troicki;39.0;1000.0;;290;65.0;R16;6-3 6-4;Grass;20170619;2017-0311;A;Queen's Club;29.0;21.0;16.0;10.0;2.0;3.0;2.0;1.0;51.0;27.91;;L;183.0;105385;USA;Donald Young;55.0;845.0;;1
3;26.0;24.0;6.0;7.0;2.0;2.0;2.0;1.0;42.0;28.93;;L;185.0;104745;ESP;Rafael Nadal;7.0;4990.0;4.0;36;75.0;R32;6-2 6-0;Clay;20150510;2015-416;M;Rome Masters;29.0;13.0;11.0;7.0;4.0;11.0;6.0;1.0;55.0;27.91;Q;R;190.0;104947;TUR;Marsel Ilhan;87.0;592.0;;0
5;50.0;43.0;19.0;17.0;16.0;6.0;3.0;9.0;95.0;19.58;;R;;122330;RUS;Alexander Bublik;207.0;268.0;;107;103.0;R128;6-0 3-6 6-3 6-4;Hard;20170116;2017-580;G;Australian Open;55.0;40.0;14.0;17.0;6.0;11.0;4.0;7.0;95.0;22.9;;R;185.0;106298;FRA;Lucas Pouille;16.0;2131.0;16.0;0
3;42.0;31.0;9.0;10.0;1.0;5.0;3.0;0.0;62.0;24.99;;R;193.0;105577;CAN;Vasek Pospisil;54.0;870.0;;16;;R64;4-6 6-4 RET;Grass;20150621;2015-741;A;Nottingham;32.0;29.0;10.0;10.0;7.0;3.0;1.0;3.0;58.0;29.19;;R;190.0;104719;ESP;Marcel Granollers;70.0;715.0;;1
3;46.0;33.0;15.0;13.0;10.0;5.0;2.0;2.0;78.0;25.77;Q;R;;106110;SVK;Filip Horansky;215.0;257.0;;271;89.0;R32;6-4 2-6 6-3;Hard;20181015;2018-M014;A;Moscow;59.0;38.0;13.0;14.0;4.0;7.0;4.0;1.0;82.0;28.29;;R;180.0;105583;SRB;Dusan Lajovic;50.0;950.0;;1
