iter	Passed	Remaining
0	71	106816
1	83	62878
2	94	47390
3	106	39959
4	117	35021
5	128	31920
6	140	29973
7	152	28529
8	164	27255
9	173	25841
10	182	24749
11	193	24000
12	205	23485
13	215	22907
14	225	22365
15	236	21924
16	243	21239
17	254	20973
18	270	21061
19	287	21284
20	300	21159
21	311	20908
22	325	20886
23	336	20719
24	349	20608
25	362	20531
26	370	20212
27	378	19889
28	389	19739
29	397	19463
30	407	19296
31	416	19087
32	428	19048
33	441	19020
34	452	18946
35	466	18978
36	475	18787
37	491	18916
38	508	19041
39	523	19122
40	545	19398
41	575	19972
42	592	20092
43	604	19994
44	618	20011
45	629	19907
46	643	19878
47	657	19887
48	678	20092
49	692	20087
50	734	20881
51	761	21193
52	773	21105
53	790	21161
54	809	21259
55	817	21068
56	829	20995
57	842	20937
58	859	20994
59	870	20885
60	880	20780
61	893	20728
62	914	20856
63	933	20947
64	950	20973
65	959	20851
66	967	20695
67	977	20588
68	991	20555
69	1001	20455
70	1011	20350
71	1026	20364
72	1034	20215
73	1045	20151
74	1058	20114
75	1069	20042
76	1083	20016
77	1098	20018
78	1112	20009
79	1128	20023
80	1146	20093
81	1160	20062
82	1179	20134
83	1194	20133
84	1207	20104
85	1221	20091
86	1232	20020
87	1241	19923
88	1254	19895
89	1264	19803
90	1275	19747
91	1290	19743
92	1310	19831
93	1332	19938
94	1344	19885
95	1364	19953
96	1382	19995
97	1396	19985
98	1411	19968
99	1424	19947
100	1438	19930
101	1452	19903
102	1469	19928
103	1481	19881
104	1498	19907
105	1514	19922
106	1549	20174
107	1563	20157
108	1589	20280
109	1602	20253
110	1617	20237
111	1622	20110
112	1637	20093
113	1652	20090
114	1668	20096
115	1686	20120
116	1718	20316
117	1745	20448
118	1766	20502
119	1780	20477
120	1802	20542
121	1817	20534
122	1831	20504
123	1842	20448
124	1855	20408
125	1867	20369
126	1879	20316
127	1896	20332
128	1917	20373
129	1938	20433
130	1954	20422
131	1969	20409
132	1982	20375
133	1992	20314
134	2013	20357
135	2031	20374
136	2048	20385
137	2061	20341
138	2072	20288
139	2084	20254
140	2096	20207
141	2121	20286
142	2142	20331
143	2169	20431
144	2183	20408
145	2198	20386
146	2208	20331
147	2218	20267
148	2228	20203
149	2240	20160
150	2251	20113
151	2261	20054
152	2274	20026
153	2291	20025
154	2302	19979
155	2315	19950
156	2325	19892
157	2341	19886
158	2365	19954
159	2382	19951
160	2399	19954
161	2413	19934
162	2422	19872
163	2434	19834
164	2447	19801
165	2460	19771
166	2472	19732
167	2484	19699
168	2498	19680
169	2522	19731
170	2538	19725
171	2552	19705
172	2574	19745
173	2595	19782
174	2608	19747
175	2623	19738
176	2634	19694
177	2644	19643
178	2658	19616
179	2671	19587
180	2684	19563
181	2697	19532
182	2709	19496
183	2718	19446
184	2735	19442
185	2749	19422
186	2765	19416
187	2804	19570
188	2816	19539
189	2839	19574
190	2852	19551
191	2864	19516
192	2876	19483
193	2888	19444
194	2902	19425
195	2918	19420
196	2932	19395
197	2943	19354
198	2958	19344
199	2973	19330
200	2989	19320
201	3009	19335
202	3032	19375
203	3045	19348
204	3056	19307
205	3067	19271
206	3083	19260
207	3096	19234
208	3107	19196
209	3119	19162
210	3129	19119
211	3140	19077
212	3151	19043
213	3164	19016
214	3177	18990
215	3195	18996
216	3211	18985
217	3230	18999
218	3238	18943
219	3261	18977
220	3279	18979
221	3291	18947
222	3304	18922
223	3316	18891
224	3327	18857
225	3339	18826
226	3351	18795
227	3371	18807
228	3395	18844
229	3408	18823
230	3428	18836
231	3445	18832
232	3460	18818
233	3476	18808
234	3487	18774
235	3501	18752
236	3516	18738
237	3528	18707
238	3538	18667
239	3548	18631
240	3561	18606
241	3580	18614
242	3610	18678
243	3633	18704
244	3651	18705
245	3668	18698
246	3682	18679
247	3692	18641
248	3706	18624
249	3719	18595
250	3732	18572
251	3748	18562
252	3782	18641
253	3802	18654
254	3822	18661
255	3843	18675
256	3863	18685
257	3875	18657
258	3892	18649
259	3906	18630
260	3918	18601
261	3930	18570
262	3943	18546
263	3958	18533
264	3973	18517
265	3989	18507
266	4008	18512
267	4028	18518
268	4046	18515
269	4081	18594
270	4101	18598
271	4114	18574
272	4133	18578
273	4151	18574
274	4163	18548
275	4178	18530
276	4192	18511
277	4210	18507
278	4230	18516
279	4249	18513
280	4267	18511
281	4287	18520
282	4305	18514
283	4324	18514
284	4347	18534
285	4362	18519
286	4382	18523
287	4400	18517
288	4435	18586
289	4458	18602
290	4479	18610
291	4501	18620
292	4522	18630
293	4539	18622
294	4557	18615
295	4570	18592
296	4587	18581
297	4607	18585
298	4626	18582
299	4652	18609
300	4670	18605
301	4690	18606
302	4710	18606
303	4723	18581
304	4743	18584
305	4756	18557
306	4769	18532
307	4786	18525
308	4801	18505
309	4822	18513
310	4858	18575
311	4877	18571
312	4894	18560
313	4919	18582
314	4932	18557
315	4950	18547
316	4967	18538
317	4989	18546
318	5004	18527
319	5021	18517
320	5041	18516
321	5064	18526
322	5081	18515
323	5104	18529
324	5121	18516
325	5141	18516
